,Country,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
0,Aruba,24713.6980451285,26189.4355088129,26647.938100985,27980.880695275097,28281.35048163,29007.6930034887
1,Afghanistan,641.8714791575389,637.165523187024,613.856689167623,578.466352941708,547.228110150363,556.30200240406
2,Angola,5100.095808097671,5254.8823379961605,5408.41049555432,4166.97968386501,3506.07288506966,4095.8129415585704
3,Albania,4247.62998374252,4413.06086120676,4578.6319939825,3952.8012152446504,4124.055725953521,4531.0208055598605
4,Andorra,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703
5,Arab World,7465.15165094558,7519.80825984063,7457.461109329251,6387.66061493825,6097.23902538074,6102.211066798579
6,United Arab Emirates,40976.499711245495,42412.6302780364,43751.8388860721,38663.3838066363,38141.846758549196,40644.804043392
7,Argentina,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14591.8633810541
8,Armenia,3681.8574560431,3838.1858014838203,3986.2316237671293,3607.29669672271,3591.8292755302296,3914.5012684128
9,American Samoa,11568.793001239499,11505.393714213898,11507.232349303702,11843.3311832581,11696.9555623329,10823.4448040273
10,Antigua and Barbuda,13272.4413293826,12909.744177500601,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998
11,Australia,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129006,54066.4712686117
12,Austria,48567.69528642,50716.708706286394,51717.495940551504,44178.047377743205,45237.805092154296,47549.0790402349
13,Azerbaijan,7496.294647682629,7875.75695254288,7891.31314749986,5500.31038244408,3880.7387308955604,4147.08971569171
14,Burundi,252.35897985834401,256.976002796754,274.85794791384603,305.549772797441,282.193130404814,292.997630684415
15,Belgium,44673.1158755901,46744.6625441516,47700.540360117804,40991.8081381432,41998.335750239,44288.5080403124
16,Benin,1145.14081099947,1251.21051783537,1291.4098081857699,1076.79771601166,1087.28783152256,1136.59284704681
17,Burkina Faso,758.000701423857,787.4701762975501,792.846778432074,653.32697954543,687.670174974205,738.2741589400811
18,Bangladesh,883.1050005413131,981.839879150399,1118.8536634927,1248.45339778371,1401.62046644588,1563.9138569305098
19,Bulgaria,7393.189176915401,7651.817880667601,7874.26090425646,7053.603706387091,7545.790332497991,8331.0580246026
20,Bahrain,23654.3513912828,24744.296958551,24989.4001204704,22688.944399814398,22619.1166718849,23709.430467983
21,"Bahamas, The",29485.6209294138,28768.0298936727,29445.030528852003,31405.9635601781,31588.8349989813,31827.2426989661
22,Bosnia and Herzegovina,4778.63608845506,5131.39450642932,5329.63504488766,4727.277546222071,4994.68314045091,5394.59122017677
23,Belarus,6940.15925359735,7978.872614710759,8318.51268992675,5949.106306997479,5022.62664330491,5761.747120230071
24,Belize,4505.62130177515,4568.5029576385205,4705.60268956266,4775.955648278211,4818.40390879479,4887.5772083381
25,Bermuda,85458.455507886,85748.0654143782,,,,
26,Bolivia,2609.88081915425,2908.20008548078,3081.87883446506,3035.97221489277,3076.6589493424,3351.12403975607
27,Brazil,12370.024200714899,12300.324882275801,12112.5882059697,8814.000986812609,8710.09668954121,9925.38623770041
28,Barbados,16249.5593937258,16451.163575991202,16489.0722373387,16525.0732500596,16900.166552366,17391.4258663397
29,Brunei Darussalam,47740.51490158559,44740.085018517,41726.7839720342,31164.562029114102,27157.8234104784,28572.146777650898
30,Bhutan,2538.94590031276,2472.71430857435,2652.21458893197,2752.66420790266,2930.56298891838,3286.5747028748806
31,Botswana,7070.376550301629,7224.965171507859,7780.638384603941,6799.8752335276795,7243.85299726842,7893.210107711159
32,Central African Republic,565.800696971217,380.298167643018,424.448751343631,377.423001679447,402.191290596004,450.900244979058
33,Canada,52678.3901234772,52652.593682827806,50893.446713754696,43585.5119817751,42322.4847803038,45148.5527061655
34,Central Europe and the Baltics,13015.828716284099,13718.0977494553,14161.90730278,12493.7138218191,12792.514115259099,14198.129857177
35,Switzerland,83538.2300783858,85112.4643984141,86605.5633762421,82081.5971239792,80172.2320747951,80449.9945608366
36,Channel Islands,,,,,,
37,Chile,15351.5513257697,15842.9408052125,14670.996760602,13574.171830723999,13753.5944374598,14999.3700885512
38,China,6316.91886335683,7050.64591988963,7678.5994316609995,8066.94242356745,8147.9381477822,8879.43814888506
39,Cote d'Ivoire,1243.2734867584,1415.87175770634,1561.46365461434,1972.54610769746,2013.3824617989103,2111.02707557541
40,Cameroon,1354.5456127470698,1465.63884316769,1542.62026621531,1327.5030171149199,1364.33011041997,1425.1078180533402
41,"Congo, Dem. Rep.",424.600386118518,457.96372825635,486.787081921552,497.316960805476,471.318840409572,467.0742374648901
42,"Congo, Rep.",3032.49388349185,3047.93077321007,2996.9180257884495,1762.03201773797,1815.2958429403898,1767.89452055028
43,Colombia,8050.0584142075595,8218.03399561565,8114.08406910545,6175.8761315127895,5871.2235753589,6377.851363036651
44,Comoros,1403.34861983706,1505.3494731361402,1513.8303792438,1242.6031895579,1273.05895265459,1323.81158996501
45,Cabo Verde,3447.5240412173,3615.97904131099,3588.6740539538,3043.01398430098,3130.96338461412,3292.6457550859004
46,Costa Rica,9913.20995852366,10490.081331293299,10547.151859355601,11299.135542301101,11666.455910775901,11814.626568766498
47,Caribbean small states,10017.3835886664,10140.1659423388,10202.2747658002,9939.8012060274,9384.91452359792,9557.51749317693
