Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Industrial production index,5.01.01.01.indust,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,IDA total,IDA,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,South Asia,SAS,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..
Industrial production index,5.01.01.01.indust,Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Angola,AGO,0,0,0,0,0,0,0,0,1,1
Industrial production index,5.01.01.01.indust,Albania,ALB,0,0,0,0,0,0,0,0,1,1
Industrial production index,5.01.01.01.indust,Argentina,ARG,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Armenia,ARM,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Azerbaijan,AZE,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Burundi,BDI,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Benin,BEN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Bangladesh,BGD,1,1,0,0,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Bulgaria,BGR,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,1,1
Industrial production index,5.01.01.01.indust,Belarus,BLR,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Belize,BLZ,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Bolivia,BOL,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Brazil,BRA,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Bhutan,BTN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Botswana,BWA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Chile,CHL,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,China,CHN,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Cote d'Ivoire,CIV,0,1,1,1,1,0,1,1,0,1
Industrial production index,5.01.01.01.indust,Cameroon,CMR,0,0,0,0,0,0,1,1,0,0
Industrial production index,5.01.01.01.indust,"Congo, Dem. Rep.",COD,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,"Congo, Rep.",COG,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Colombia,COL,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Comoros,COM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Cabo Verde,CPV,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Costa Rica,CRI,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Djibouti,DJI,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Dominica,DMA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Algeria,DZA,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Ecuador,ECU,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,"Egypt, Arab Rep.",EGY,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Fiji,FJI,1,1,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,"Micronesia, Fed. Sts.",FSM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Gabon,GAB,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Georgia,GEO,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Ghana,GHA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Guinea,GIN,0,1,1,1,1,0,0,0,0,0
Industrial production index,5.01.01.01.indust,"Gambia, The",GMB,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0
