,Country,gdp,population,urban_pop_waste_coverage,%_total_waste_covered,total_pop_waste_coverage,open_dump_%_waste,recycling_%_waste,hazardous_waste_norm,construction_waste_norm,industrial_waste_norm,agricultural_waste_norm,e_waste_norm,national_agency_solid_waste_management,solid_waste_information_publicly_available,information_system_solid_waste_management,national_law_solid_waste_management,plastic_%_waste,total_municipal_solid_waste_norm
0,Aruba,,103187.0,,,,,0.11,,,,,,Yes,Yes,,Yes,,0.8541
1,Afghanistan,21413614653.3241,34656032.0,,,,,,,,,0.19628649350277608,0.0005771001134809664,Yes,,,Yes,,0.1624111314878749
2,Angola,103042328743.665,25096150.0,,,0.231,,,,,,,0.003665900944965662,,,,Yes,0.135,0.1679
3,Albania,13471082475.1768,2880703.0,,,0.6,,,0.0019838282530340685,0.07047203408334701,0.09382050145398536,,0.006942749738518688,Yes,No,No,Yes,0.096,0.3967656506068137
4,Andorra,3319880351.13342,82431.0,,,1.0,,,0.021690868726571316,,,,,Yes,,,Yes,0.113,0.5216484089723527
5,United Arab Emirates,384222464261.40204,9269612.0,,,,0.62,0.2,0.006205761363043027,0.3102948645531226,0.35671870624142626,0.05319596979895167,0.014455836986488755,Yes,,Yes,,0.19,0.584
6,Argentina,447517812725.52,42981515.0,0.9481999999999999,,0.8991,0.226,0.06,0.0072134265160267155,,,,0.006786638395598666,,,Yes,Yes,0.1461,0.4167035526784014
7,Armenia,11501998665.6524,2906220.0,0.9,,,1.0,,0.0214264577354777,0.0026907804639703806,16.27906352581704,0.0005402206302344626,0.004817254027568457,No,,No,Yes,0.114,0.16956734177040966
8,American Samoa,534555066.07929504,55599.0,1.0,,1.0,,,,,,,,Yes,,,,0.128,0.3415437328009497
9,Antigua and Barbuda,1344373697.9233,96777.0,,,0.9861,,,,,,,0.011366337042892423,Yes,No,No,Yes,0.13,0.31603583496078613
10,Australia,1349304594617.26,23789338.0,,,,,0.42100000000000004,0.294249465874166,0.8407127596404742,1.3031047774427351,,0.024128456201681612,Yes,Yes,Yes,Yes,0.0761,0.5609655888701064
11,Austria,420040461384.701,8633169.0,,0.9777,,,0.2566,0.14737207159966403,4.914057978014794,,0.21865933587075614,0.019248320054895254,Yes,,,Yes,0.111,0.5601651027565892
12,Azerbaijan,57195531761.5917,9649341.0,0.9,,0.56,1.0,,0.030777169135177213,,,,0.006528943271877323,Yes,,,Yes,0.0787,0.3036838474254356
13,Burundi,2297241391.8459396,6741569.0,,,,,,,,,,0.0007416671104308211,,,,,0.035,0.2776825394800528
14,Belgium,515102640677.261,11274196.0,,0.9773999999999999,,,0.34303000000000006,0.2613219603420058,3.1775568741221103,,0.49982659517361594,0.053535968329803736,Yes,,,Yes,0.1394,0.4175907532563741
15,Benin,9102277422.82945,5521763.0,,,,,0.25,,,,,0.0014850329505268517,,,,Yes,0.073,0.12422409473206293
16,Burkina Faso,12380518526.0539,18110624.0,,0.3452,0.096,0.59,0.12,0.0004346067810805415,,,,0.0006073782990580557,No,,No,Yes,0.09,0.1421956035308336
17,Bangladesh,167771337874.21802,155727053.0,0.6039,0.52,,,,0.00073434896376033,,0.0001726353866081316,0.4173969695554439,0.000911851841182662,Yes,,No,Yes,0.0467,0.09490000000192644
18,Bulgaria,56792405577.3656,7177991.0,,0.983,,,0.19030000000000002,1.7004993458476056,24.013559922267945,,0.1370363936092982,0.00749304366639635,Yes,Yes,Yes,Yes,0.1215,0.4194767031610934
19,Bahrain,31769062885.3112,1425171.0,,,,,0.08,0.02175177575182206,0.4000219412267019,0.0982338259759706,,0.014033403710852944,Yes,,No,Yes,0.07400000000000001,0.6679499999999999
20,"Bahamas, The",10343803831.7942,386838.0,,,,,,,,,,0.012666801089861906,Yes,No,No,No,0.13,0.6824562219843966
21,Bosnia and Herzegovina,18929698720.1192,3535961.0,,0.7399,,0.4175,9.699999999999999e-06,0.00237785428063262,0.07135542501741393,1.1449928322173237,,0.00039847724564835414,No,Yes,No,No,,0.353148125785324
22,Belarus,59187019676.14,9489616.0,1.0,,0.932,0.071,0.16,0.14088304521489595,,,,0.007587240621749078,Yes,Yes,Yes,Yes,0.12,0.4510193036261952
23,Belize,1602671549.36449,359288.0,,,0.852,0.66,,,,,,0.006401549731691568,Yes,,Yes,Yes,0.19,0.28216592343746527
