,Country,measurement,units,Year
0,Luxembourg,special_waste_agricultural_waste_tons_year,tonnes/year,2014
1,Norway,special_waste_agricultural_waste_tons_year,tonnes/year,2014
2,Malta,special_waste_agricultural_waste_tons_year,tonnes/year,2014
3,New Zealand,special_waste_agricultural_waste_tons_year,tonnes/year,2014
4,Japan,special_waste_agricultural_waste_tons_year,tonnes/year,2010
5,Jordan,special_waste_agricultural_waste_tons_year,tonnes/year,2014
6,Ukraine,special_waste_agricultural_waste_tons_year,tonnes/year,2015
7,Romania,special_waste_agricultural_waste_tons_year,tonnes/year,2014
8,Sweden,special_waste_agricultural_waste_tons_year,tonnes/year,2014
9,Belgium,special_waste_agricultural_waste_tons_year,tonnes/year,2014
10,"Macedonia, FYR",special_waste_agricultural_waste_tons_year,tonnes/year,2014
11,Finland,special_waste_agricultural_waste_tons_year,tonnes/year,2014
12,"Iran, Islamic Rep.",special_waste_agricultural_waste_tons_year,tonnes/year,2005
13,Malaysia,special_waste_agricultural_waste_tons_year,tonnes/year,1997
14,Indonesia,special_waste_agricultural_waste_tons_year,tonnes/year,1997
15,Canada,special_waste_agricultural_waste_tons_year,tonnes/year,2006
16,Iceland,special_waste_agricultural_waste_tons_year,tonnes/year,2013
17,Armenia,special_waste_agricultural_waste_tons_year,tonnes/year,2015
18,Kosovo,special_waste_agricultural_waste_tons_year,tonnes/year,2015
19,Netherlands,special_waste_agricultural_waste_tons_year,tonnes/year,2014
20,Cyprus,special_waste_agricultural_waste_tons_year,tonnes/year,2015
21,Denmark,special_waste_agricultural_waste_tons_year,tonnes/year,2015
22,Croatia,special_waste_agricultural_waste_tons_year,tonnes/year,2015
23,Pakistan,special_waste_agricultural_waste_tons_year,tonnes/year,2013
24,"Egypt, Arab Rep.",special_waste_agricultural_waste_tons_year,tonnes/year,2012
25,United Arab Emirates,special_waste_agricultural_waste_tons_year,tonnes/year,2015
26,Kyrgyz Republic,special_waste_agricultural_waste_tons_year,tonnes/year,2010
27,Austria,special_waste_agricultural_waste_tons_year,tonnes/year,2014
28,Estonia,special_waste_agricultural_waste_tons_year,tonnes/year,2015
29,United Kingdom,special_waste_agricultural_waste_tons_year,tonnes/year,2014
30,Germany,special_waste_agricultural_waste_tons_year,tonnes/year,2014
31,Ireland,special_waste_agricultural_waste_tons_year,tonnes/year,2014
32,Bulgaria,special_waste_agricultural_waste_tons_year,tonnes/year,2015
33,Italy,special_waste_agricultural_waste_tons_year,tonnes/year,2014
34,Serbia,special_waste_agricultural_waste_tons_year,tonnes/year,2014
35,Lithuania,special_waste_agricultural_waste_tons_year,tonnes/year,2014
36,Bangladesh,special_waste_agricultural_waste_tons_year,tonnes/year,2007
37,Tunisia,special_waste_agricultural_waste_tons_year,tonnes/year,2014
38,West Bank and Gaza,special_waste_agricultural_waste_tons_year,tonnes/year,2014
39,France,special_waste_agricultural_waste_tons_year,tonnes/year,2014
40,Hungary,special_waste_agricultural_waste_tons_year,tonnes/year,2014
41,China,special_waste_agricultural_waste_tons_year,tonnes/year,2011
42,Afghanistan,special_waste_agricultural_waste_tons_year,tonnes/year,2009
43,Spain,special_waste_agricultural_waste_tons_year,tonnes/year,2014
44,Portugal,special_waste_agricultural_waste_tons_year,tonnes/year,2014
45,Greece,special_waste_agricultural_waste_tons_year,tonnes/year,2014
46,Thailand,special_waste_agricultural_waste_tons_year,tonnes/year,2004
47,Slovak Republic,special_waste_agricultural_waste_tons_year,tonnes/year,2014
48,Liechtenstein,special_waste_agricultural_waste_tons_year,tonnes/year,2014
49,Slovenia,special_waste_agricultural_waste_tons_year,tonnes/year,2014
50,Poland,special_waste_agricultural_waste_tons_year,tonnes/year,2014
51,Latvia,special_waste_agricultural_waste_tons_year,tonnes/year,2014
52,Czech Republic,special_waste_agricultural_waste_tons_year,tonnes/year,2015
53,"Iran, Islamic Rep.",waste_treatment_anaerobic_digestion_percent,tonnes/year,2017
54,Japan,waste_treatment_anaerobic_digestion_percent,tonnes/year,2015
55,Denmark,waste_treatment_compost_percent,tonnes/year,2015
56,Austria,waste_treatment_compost_percent,tonnes/year,2015
57,Tunisia,waste_treatment_compost_percent,tonnes/year,2014
58,Maldives,waste_treatment_compost_percent,tonnes/year,2016
59,Vietnam,waste_treatment_compost_percent,tonnes/year,2013
60,Estonia,waste_treatment_compost_percent,tonnes/year,2015
61,Hungary,waste_treatment_compost_percent,tonnes/year,2015
62,Netherlands,waste_treatment_compost_percent,tonnes/year,2015
63,West Bank and Gaza,waste_treatment_compost_percent,tonnes/year,2013
64,"Macedonia, FYR",waste_treatment_compost_percent,tonnes/year,2013
65,Romania,waste_treatment_compost_percent,tonnes/year,2015
66,United Kingdom,waste_treatment_compost_percent,tonnes/year,2015
67,Slovak Republic,waste_treatment_compost_percent,tonnes/year,2015
68,Spain,waste_treatment_compost_percent,tonnes/year,2015
69,Chile,waste_treatment_compost_percent,tonnes/year,2009
70,Turkey,waste_treatment_compost_percent,tonnes/year,2015
71,Sweden,waste_treatment_compost_percent,tonnes/year,2015
72,Marshall Islands,waste_treatment_compost_percent,tonnes/year,2007
73,Czech Republic,waste_treatment_compost_percent,tonnes/year,2015
74,Bulgaria,waste_treatment_compost_percent,tonnes/year,2015
75,Croatia,waste_treatment_compost_percent,tonnes/year,2015
76,Japan,waste_treatment_compost_percent,tonnes/year,2015
77,Bolivia,waste_treatment_compost_percent,tonnes/year,2015
78,St. Lucia,waste_treatment_compost_percent,tonnes/year,2010
79,India,waste_treatment_compost_percent,tonnes/year,2016
80,Channel Islands,waste_treatment_compost_percent,tonnes/year,2016
81,Belgium,waste_treatment_compost_percent,tonnes/year,2015
82,Bhutan,waste_treatment_compost_percent,tonnes/year,2016
83,Lebanon,waste_treatment_compost_percent,tonnes/year,2014
84,Ireland,waste_treatment_compost_percent,tonnes/year,2012
85,Nepal,waste_treatment_compost_percent,tonnes/year,2013
86,"Korea, Rep.",waste_treatment_compost_percent,tonnes/year,2014
87,Malaysia,waste_treatment_compost_percent,tonnes/year,2017
88,Canada,waste_treatment_compost_percent,tonnes/year,2007
89,Trinidad and Tobago,waste_treatment_compost_percent,tonnes/year,2011
90,Germany,waste_treatment_compost_percent,tonnes/year,2015
91,Antigua and Barbuda,waste_treatment_compost_percent,tonnes/year,2011
92,"Iran, Islamic Rep.",waste_treatment_compost_percent,tonnes/year,2017
93,Latvia,waste_treatment_compost_percent,tonnes/year,2015
94,Morocco,waste_treatment_compost_percent,tonnes/year,2014
95,Syrian Arab Republic,waste_treatment_compost_percent,tonnes/year,2010
96,Slovenia,waste_treatment_compost_percent,tonnes/year,2015
97,Switzerland,waste_treatment_compost_percent,tonnes/year,2015
98,Togo,waste_treatment_compost_percent,tonnes/year,2012
99,Lithuania,waste_treatment_compost_percent,tonnes/year,2015
100,Finland,waste_treatment_compost_percent,tonnes/year,2015
101,France,waste_treatment_compost_percent,tonnes/year,2015
102,"Egypt, Arab Rep.",waste_treatment_compost_percent,tonnes/year,2013
103,Cyprus,waste_treatment_compost_percent,tonnes/year,2015
104,Mauritius,waste_treatment_compost_percent,tonnes/year,2012
105,Algeria,waste_treatment_compost_percent,tonnes/year,2013
106,Pakistan,waste_treatment_compost_percent,tonnes/year,2017
107,Portugal,waste_treatment_compost_percent,tonnes/year,2014
108,Bangladesh,waste_treatment_compost_percent,tonnes/year,2011
109,Norway,waste_treatment_compost_percent,tonnes/year,2015
110,Italy,waste_treatment_compost_percent,tonnes/year,2015
111,Brunei Darussalam,waste_treatment_compost_percent,tonnes/year,2014
112,St. Vincent and the Grenadines,waste_treatment_compost_percent,tonnes/year,2012
113,Iceland,waste_treatment_compost_percent,tonnes/year,2013
114,Brazil,waste_treatment_compost_percent,tonnes/year,2015
115,China,waste_treatment_compost_percent,tonnes/year,2011
116,Sri Lanka,waste_treatment_compost_percent,tonnes/year,2016
117,United Arab Emirates,waste_treatment_compost_percent,tonnes/year,2015
118,Bermuda,waste_treatment_compost_percent,tonnes/year,2012
119,Madagascar,waste_treatment_compost_percent,tonnes/year,2007
120,Luxembourg,waste_treatment_compost_percent,tonnes/year,2015
121,Poland,waste_treatment_compost_percent,tonnes/year,2015
122,Grenada,waste_treatment_compost_percent,tonnes/year,2011
123,Sri Lanka,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016
124,Slovenia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
125,Bosnia and Herzegovina,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
126,"Macedonia, FYR",special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
127,Liechtenstein,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
128,Switzerland,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2000
129,United States,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
130,Luxembourg,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
131,Austria,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
132,Malta,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
133,Portugal,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
134,Poland,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
135,Singapore,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2017
136,Moldova,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2010
137,Montenegro,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
138,"Egypt, Arab Rep.",special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2012
139,Slovak Republic,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
140,Netherlands,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
141,Bulgaria,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
142,Ukraine,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
143,Qatar,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
144,Isle of Man,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2011
145,Iceland,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2013
146,Czech Republic,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
147,Italy,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
148,Kuwait,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2008
149,Croatia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
150,Kyrgyz Republic,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2010
151,Australia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
152,New Zealand,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,1997
153,Latvia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
154,Hungary,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
155,Sweden,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
156,"Korea, Rep.",special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2012
157,Kosovo,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
158,Ireland,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
159,Belgium,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
160,Maldives,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2017
161,Morocco,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
162,Cyprus,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
163,Spain,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
164,Armenia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
165,India,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2017
166,Gibraltar,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2013
167,Brazil,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
168,Barbados,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2011
169,Romania,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
170,Albania,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016
171,"Macao SAR, China",special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016
172,Mongolia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016
173,Japan,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2012
174,Norway,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
175,United Kingdom,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
176,Germany,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
177,France,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
178,Greece,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
179,Finland,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
180,Estonia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
181,Oman,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2009
182,United Arab Emirates,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
183,Mexico,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2011
184,Serbia,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
185,Canada,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2010
186,China,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
187,"Iran, Islamic Rep.",special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2017
188,"Hong Kong SAR, China",special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
189,Libya,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2010
190,Lithuania,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014
191,Denmark,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
192,Costa Rica,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2008
193,Bahrain,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2009
194,Algeria,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2012
195,Israel,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015
196,Thailand,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2005
197,Kosovo,waste_treatment_controlled_landfill_percent,tonnes/year,2010
198,Bolivia,waste_treatment_controlled_landfill_percent,tonnes/year,2015
199,Belarus,waste_treatment_controlled_landfill_percent,tonnes/year,2016
200,St. Lucia,waste_treatment_controlled_landfill_percent,tonnes/year,2010
201,Jamaica,waste_treatment_controlled_landfill_percent,tonnes/year,2016
202,Algeria,waste_treatment_controlled_landfill_percent,tonnes/year,2016
203,Estonia,waste_treatment_controlled_landfill_percent,tonnes/year,2015
204,Guatemala,waste_treatment_controlled_landfill_percent,tonnes/year,2010
205,Bhutan,waste_treatment_controlled_landfill_percent,tonnes/year,2016
206,Channel Islands,waste_treatment_controlled_landfill_percent,tonnes/year,2016
207,Uruguay,waste_treatment_controlled_landfill_percent,tonnes/year,2013
208,Chile,waste_treatment_controlled_landfill_percent,tonnes/year,2009
209,Samoa,waste_treatment_controlled_landfill_percent,tonnes/year,2013
