,Country,hdi_2013,hdi_2015,hdi_2016,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth
0,Norway,"0,946","0,948","0,951","0,953",0,"0,16"
1,Switzerland,"0,938","0,943","0,943","0,943",0,"0,18"
2,Ireland,"0,908","0,926","0,936","0,939",13,"0,71"
3,Germany,"0,927","0,933","0,936","0,938",0,"0,25"
4,"Hong Kong, China (SAR)","0,916","0,927","0,931","0,936",6,"0,51"
5,Australia,"0,926","0,933","0,935","0,937",0,"0,17"
6,Iceland,"0,92","0,927","0,932","0,935",3,"0,64"
7,Sweden,"0,927","0,932","0,934","0,935",-4,"0,42"
8,Singapore,"0,923","0,929","0,933","0,934",-1,"0,35"
9,Netherlands,"0,924","0,927","0,929","0,932",-3,"0,31"
10,Denmark,"0,926","0,926","0,928","0,929",-6,"0,27"
11,Finland,"0,916","0,919","0,922","0,924",-2,"0,3"
12,Canada,"0,91","0,917","0,92","0,921",2,"0,38"
13,New Zealand,"0,907","0,914","0,917","0,92",4,"0,3"
14,United Kingdom,"0,914","0,916","0,918","0,919",-3,"0,21"
15,United States,"0,914","0,917","0,919","0,919",-3,"0,12"
16,Belgium,"0,908","0,913","0,915","0,917",-1,"0,22"
17,Liechtenstein,"0,912","0,912","0,915","0,916",-4,"0,17"
18,Japan,"0,9","0,906","0,91","0,913",0,"0,42"
19,Austria,"0,896","0,906","0,909","0,912",0,"0,26"
20,Luxembourg,"0,892","0,899","0,904","0,908",2,"0,22"
21,Israel,"0,895","0,901","0,902","0,904",-1,"0,27"
22,Korea (Republic of),"0,893","0,899","0,901","0,904",0,"0,33"
23,Slovenia,"0,884","0,886","0,892","0,899",0,"0,29"
24,Spain,"0,875","0,885","0,888","0,891",1,"0,4"
25,Czechia,"0,874","0,882","0,885","0,888",1,"0,41"
26,France,"0,882","0,888","0,887","0,89",-1,"0,27"
27,Malta,"0,861","0,877","0,881","0,883",2,"0,55"
28,Italy,"0,873","0,875","0,878","0,881",-1,"0,17"
29,Estonia,"0,863","0,871","0,875","0,879",-1,"0,54"
30,Cyprus,"0,854","0,864","0,869","0,871",2,"0,34"
31,Greece,"0,858","0,868","0,866","0,871",-1,"0,22"
32,Poland,"0,851","0,858","0,864","0,868",2,"0,54"
33,Lithuania,"0,84","0,855","0,86","0,866",5,"0,67"
34,United Arab Emirates,"0,839","0,86","0,863","0,864",5,"0,68"
