,Country,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
0,Afghanistan,6.2513281666,,,9.7839217823,6.5511634561,6.6784014409
1,Albania,5.3876148686,4.2702841943,4.039627014700001,2.214131417,2.7369477905,2.0109778588
2,Algeria,1.3989980018000001,1.2585167829000001,1.4823877943000001,1.3642763974,,
3,American Samoa,3.5926637806,5.38435307,5.3772113782,7.1676880622,5.382227883500001,
4,Andorra,0.0,0.0,0.0,0.0,,
5,Angola,4.8470751765,,,,,
6,Anguilla,36.247643903000004,7.1674311927,28.340654669,,,
7,Antigua and Barbuda,11.061090402,,,,,
8,Argentina,6.341726925,7.2803050637,7.5707989313,6.5861232774000005,6.0333095226,5.2097151606
9,Armenia,2.2536273866,2.1742183944,2.4721853397,2.5636126291999997,2.9630669037,2.3770803273
10,Aruba,3.8999658752999995,5.8159259439,1.9272278753999998,,,
11,Australia,1.0609523222,1.0535408605,1.0298169731,0.9861067998,0.9355921082200002,0.82571952813
12,Austria,0.9291679947499999,0.72462150506,0.52233231827,0.53003531533,0.65162919875,0.7936596120899999
13,Azerbaijan,2.18032261,2.3547043530000002,2.4827428333,2.3382111188,2.1363919893,2.0415799757
14,Bahamas,30.529648139000003,32.410761461999996,33.456998314,39.01656868,29.371062359,31.958171469
15,Bahrain,0.30770603611999997,0.38021975181,0.52392346825,,,
16,Bangladesh,2.7243998743,2.875726215,2.9213541247,2.5822960967,2.273113534,2.2224946885
17,Barbados,7.754725095,8.441965008099999,8.7773194067,10.864727138,7.6977445608,10.481118265
18,Belarus,3.610474411,3.5337181443,3.6048483939,3.4536005587000003,3.2501774893,2.5396199226
19,Belgium,1.8492867390999999,1.8379043659,1.8714534287,2.0375744678,1.5324446269999998,1.6900542148
20,Belize,42.899281363,28.636967143000003,34.808102647,32.970747466,37.459385069,37.788570288
21,Benin,,,,,,1.1274974068
22,Bermuda,9.4968264772,7.9654617578,6.4121060562,6.4513007435,12.960124936,8.1428850908
23,Bhutan,4.7036554530000005,3.3791632347000005,,1.6486120747,1.2216542284,1.7436487594
24,Bolivia (Plurinational State of),11.76563888,8.840512692799999,8.798379529,6.1731052799,6.2183744444,
25,Bosnia and Herzegovina,1.747586389,1.2984820745,1.4359126345,1.6621167436000002,1.3288985528,1.2531575094
26,Brazil,26.621868092,26.941953612,28.849832246,28.59025632,29.877807010999998,30.831362508
27,Brunei Darussalam,1.0025138034,0.49454272107,,,,
28,Bulgaria,1.9225506602000002,1.4951800334,1.5733582421,1.7500634398,1.1045941609,1.4502033945
