,CPI_2017,CPI_abs_growth,other_eco_indices,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,SDI_2017,SDI_abs_growth,CO2_capita_2017,CO2_capita_growth,gini_index_2017,gini_growth,moderate_poverty_%_$5.50_2017,moderate_pov_growth,extreme_poverty_%_$1.90_2017,extreme_pov_growth,gdp_per_capita_2017,gdp_capita_growth,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,gender_eq_2017,gender_abs_growth,homicide_rate_2017,homicide_growth
0,36.0,1.0,31.666666666666668,0.06,0.146,0.006999999999999999,0.006999999999999999,0.41700000000000004,1.0,1.0,0.757,-0.040999999999999925,4.1419999999999995,-0.011337414163024584,41.2,-0.0009680560263038984,9.8,-0.013703810340970568,0.8,-0.061704874021946354,14591.863000000001,0.022075342707571277,0.8320000000000001,-2.0,0.18,4.1,-0.15000000000000036,5.21,-0.03855975548044954
1,33.0,-1.0,28.0,0.121,0.102,0.051,0.003,0.207,1.0,1.0,0.745,0.03200000000000003,1.9809999999999999,0.03252935279750724,44.0,-0.01141651277747946,24.6,-0.02555929984651062,5.8,-0.06461889033839407,3351.1240000000003,0.05126924309700298,0.7,3.0,0.88,4.0,0.0,6.218,-0.1197533625610464
2,40.0,-3.0,35.666666666666664,0.013999999999999999,0.135,0.021,0.006999999999999999,0.38799999999999996,1.0,1.0,0.758,0.010000000000000009,2.043,-0.014967014345793617,53.3,-0.0007487840672220081,20.2,-0.008680194888783577,4.4,0.03526180275714541,9925.386,-0.043080570539826724,0.76,-3.0,0.59,4.1,-0.15000000000000036,30.831,0.029791698308320402
3,82.0,-2.0,80.33333333333333,0.20600000000000002,0.03,0.021,0.02,0.706,1.0,1.0,0.18600000000000003,-0.02699999999999997,14.992,-0.008160797684396703,33.3,-0.0029762432809401496,0.7,0.0,0.2,-0.1674467925981269,45148.553,-0.03037842917873379,0.9209999999999999,2.0,0.38,4.1,-0.15000000000000036,1.797,0.027507561833779004
4,66.0,-6.0,66.33333333333333,0.004,0.094,0.015,0.01,0.387,0.0,1.0,0.7240000000000001,-0.03299999999999992,4.648,0.006761525750596853,44.4,-0.006189688796944148,3.6,-0.11416728965524281,0.3,-0.05591248870509802,14999.37,-0.0046309063448671806,0.845,2.0,0.71,4.1,-0.15000000000000036,4.218,0.11081574071319067
5,37.0,1.0,40.0,0.172,0.128,0.006,0.005,0.262,1.0,0.0,0.7829999999999999,0.0129999999999999,1.535,-0.00937230101644515,49.7,-0.011653668288560959,28.1,-0.04020729443455451,4.0,-0.0868462890526146,6377.851,-0.04550189191871301,0.76,2.0,0.54,4.1,-0.15000000000000036,25.02,-0.06852223612451103
6,58.0,4.0,51.666666666666664,0.013000000000000001,0.11,0.021,0.008,0.307,1.0,1.0,0.8420000000000001,0.020000000000000018,1.546,0.013884845449625649,48.3,-0.0012376275561128969,10.0,-0.04667878942197823,1.1,-0.08338121623946426,11814.627,0.03571708834359133,0.792,-2.0,0.64,4.1,-0.15000000000000036,12.182,0.07008866241108525
7,31.0,-1.0,30.0,0.08199999999999999,0.1,0.021,0.005,0.386,1.0,0.0,0.797,0.04100000000000015,1.99,-0.005340495299861359,42.2,-0.01752319709487271,15.9,-0.12386852715496977,0.7,-0.23082539281564207,7609.339,0.04485466185335163,0.741,10.0,0.76,4.1,-0.15000000000000036,11.567,-0.12720442973674995
8,31.0,-1.0,29.0,0.129,0.114,0.012,0.005,0.32799999999999996,1.0,0.0,0.77,0.006000000000000005,2.063,-0.022701629450078475,44.7,-0.006148907292220063,23.3,-0.03260320230822211,3.2,-0.06591264509773154,6213.501,0.018043512573986398,0.757,-8.0,0.71,4.1,-0.15000000000000036,5.791,-0.14162422340610736
9,36.0,-2.0,31.666666666666668,0.094,0.1,0.003,0.005,0.267,1.0,1.0,0.736,0.015000000000000013,0.899,-0.02340198808269578,38.0,-0.018881504273735694,29.5,-0.05671053507961854,1.9,-0.14670173593792024,3910.257,0.026651729665725377,0.665,-5.0,0.14,4.1,-0.15000000000000036,61.708,0.08213898146596765
