,Country,Region,CPI_2012,CPI_2013,CPI_2014,CPI_2015,CPI_2016,CPI_2017,World Economic Forum EOS,Global Insight Country Risk Ratings,PRS International Country Risk Guide,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,CO2_capita_2012,CO2_capita_2013,CO2_capita_2014,CO2_capita_2015,CO2_capita_2016,CO2_capita_2017,SDI_2012,SDI_2013,SDI_2014,SDI_2015,SDI_2016,SDI_2017,gender_eq_2012,gender_eq_2013,gender_eq_2014,gender_eq_2015,gender_eq_2016,gender_eq_2017,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,gini_index_2012,gini_index_2013,gini_index_2014,gini_index_2015,gini_index_2016,gini_index_2017,income_share_top10%_2012,income_share_top10%_2013,income_share_top10%_2014,income_share_top10%_2015,income_share_top10%_2016,income_share_top10%_2017,moderate_poverty_%_$5.50_2012,moderate_poverty_%_$5.50_2013,moderate_poverty_%_$5.50_2014,moderate_poverty_%_$5.50_2015,moderate_poverty_%_$5.50_2016,moderate_poverty_%_$5.50_2017,extreme_poverty_%_$1.90_2012,extreme_poverty_%_$1.90_2013,extreme_poverty_%_$1.90_2014,extreme_poverty_%_$1.90_2015,extreme_poverty_%_$1.90_2016,extreme_poverty_%_$1.90_2017,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
0,Argentina,Americas,35.0,34.0,34.0,32.0,36.0,36.0,29.0,34.0,32.0,0.06,0.146,0.007,0.007,0.417,1.0,1.0,4.385,4.385,4.385,4.385,4.345,4.142,0.798,0.783,0.775,0.769,0.763,0.757,4.25,4.188,4.0,4.1,4.1,4.1,0.822,0.824,0.826,0.828,0.828,0.832,-2.0,0.18,6.342,7.28,7.571,6.586,6.033,5.21,41.4,41.0,41.7,41.7,42.0,41.2,29.7,29.4,29.9,30.1,30.3,29.7,10.5,10.4,11.5,11.3,11.1,9.8,1.1,1.0,0.9,0.95,1.0,0.8,13082.664,13080.255,12334.798,13789.06,12790.242,14591.863
1,Bolivia,Americas,34.0,34.0,35.0,34.0,33.0,33.0,18.0,34.0,32.0,0.121,0.102,0.051,0.003,0.207,1.0,1.0,1.688,1.688,1.688,1.688,1.848,1.981,0.713,0.72,0.727,0.733,0.739,0.745,4.0,4.0,4.0,4.0,4.0,4.0,0.667,0.673,0.679,0.685,0.692,0.7,3.0,0.88,11.766,8.841,8.798,6.173,6.218,6.218,46.6,47.6,47.8,46.7,44.6,44.0,33.7,35.2,36.0,34.8,32.1,31.7,28.0,25.8,24.8,25.4,24.9,24.6,8.1,6.9,5.7,6.3,7.0,5.8,2609.881,2908.2,3081.879,3035.972,3076.659,3351.124
2,Brazil,Americas,43.0,42.0,43.0,38.0,40.0,40.0,28.0,47.0,32.0,0.014,0.135,0.021,0.007,0.388,1.0,1.0,2.203,2.203,2.203,2.203,2.015,2.043,0.748,0.753,0.752,0.754,0.756,0.758,4.25,4.188,4.0,4.1,4.1,4.1,0.75,0.752,0.754,0.755,0.757,0.76,-3.0,0.59,26.622,26.942,28.85,28.59,29.878,30.831,53.5,52.8,52.1,51.9,53.3,53.3,42.6,41.8,41.2,40.9,42.1,42.0,21.1,19.3,17.6,18.6,20.0,20.2,3.7,3.1,2.7,3.2,3.9,4.4,12370.024,12300.325,12112.588,8814.001,8710.097,9925.386
3,Canada,Americas,84.0,81.0,81.0,83.0,82.0,82.0,73.0,83.0,85.0,0.206,0.03,0.021,0.02,0.706,1.0,1.0,15.619,15.619,15.619,15.619,15.179,14.992,0.213,0.205,0.198,0.194,0.19,0.186,4.25,4.188,4.0,4.1,4.1,4.1,0.907,0.91,0.914,0.917,0.92,0.921,2.0,0.38,1.569,1.442,1.464,1.693,1.682,1.797,33.8,33.8,33.8,33.8,33.8,33.3,25.1,25.1,25.15,25.2,25.25,25.3,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.425,0.35,0.275,0.2,52678.39,52652.594,50893.447,43585.512,42322.485,45148.553
4,Chile,Americas,72.0,71.0,73.0,70.0,66.0,66.0,64.0,59.0,76.0,0.004,0.094,0.015,0.01,0.387,0.0,1.0,4.494,4.494,4.494,4.494,4.664,4.648,0.757,0.735,0.733,0.73,0.727,0.724,4.25,4.188,4.0,4.1,4.1,4.1,0.825,0.83,0.834,0.839,0.843,0.845,2.0,0.71,2.494,3.164,2.466,3.395,3.361,4.218,45.8,45.8,45.8,44.4,44.4,44.4,37.4,37.4,36.75,36.1,36.2,36.3,6.6,6.6,5.85,5.1,4.35,3.6,0.4,0.4,0.35,0.3,0.3,0.3,15351.551,15842.941,14670.997,13574.172,13753.594,14999.37
5,Colombia,Americas,36.0,36.0,37.0,37.0,37.0,37.0,32.0,47.0,41.0,0.172,0.128,0.006,0.005,0.262,1.0,0.0,1.609,1.609,1.609,1.609,1.803,1.535,0.77,0.777,0.777,0.779,0.781,0.783,4.25,4.188,4.0,4.1,4.1,4.1,0.742,0.746,0.75,0.753,0.759,0.76,2.0,0.54,35.68,33.162,28.409,26.898,25.744,25.02,52.7,52.8,52.7,51.1,50.8,49.7,41.4,41.5,41.5,40.0,40.0,39.0,34.5,32.4,30.3,29.2,29.0,28.1,6.3,5.8,5.2,4.7,4.7,4.0,8050.058,8218.034,8114.084,6175.876,5871.224,6377.851
6,Costa Rica,Americas,54.0,53.0,54.0,55.0,58.0,58.0,46.0,59.0,50.0,0.013,0.11,0.021,0.008,0.307,1.0,1.0,1.443,1.443,1.443,1.443,1.542,1.546,0.822,0.823,0.824,0.83,0.836,0.842,4.25,4.188,4.0,4.1,4.1,4.1,0.772,0.777,0.782,0.786,0.789,0.792,-2.0,0.64,8.682,8.667,9.947,11.49,11.798,12.182,48.6,49.3,48.6,48.4,48.7,48.3,37.0,37.4,36.9,36.8,37.3,37.0,12.7,12.8,12.3,12.0,11.0,10.0,1.7,1.6,1.5,1.5,1.3,1.1,9913.21,10490.081,10547.152,11299.136,11666.456,11814.627
7,Dominican Republic,Americas,32.0,29.0,32.0,33.0,31.0,31.0,24.0,34.0,32.0,0.082,0.1,0.021,0.005,0.386,1.0,0.0,2.044,2.044,2.044,2.044,2.116,1.99,0.756,0.759,0.764,0.775,0.786,0.797,4.25,4.188,4.0,4.1,4.1,4.1,0.702,0.712,0.722,0.733,0.738,0.741,10.0,0.76,22.838,19.685,17.806,17.806,15.542,11.567,46.1,47.7,44.3,45.2,45.7,42.2,36.0,37.9,33.4,34.9,35.4,33.5,30.8,29.9,25.2,21.8,19.9,15.9,2.6,2.2,2.1,1.8,1.6,0.7,6110.37,6238.134,6608.828,6921.517,7280.88,7609.339
8,Ecuador,Americas,32.0,35.0,33.0,32.0,31.0,31.0,33.0,22.0,32.0,0.129,0.114,0.012,0.005,0.328,1.0,0.0,2.314,2.314,2.314,2.314,2.16,2.063,0.764,0.763,0.767,0.768,0.769,0.77,4.25,4.188,4.0,4.1,4.1,4.1,0.748,0.751,0.754,0.758,0.756,0.757,-8.0,0.71,12.427,10.982,8.218,6.489,5.84,5.791,46.1,46.9,45.0,46.0,45.0,44.7,34.6,35.7,34.4,34.9,34.3,33.8,27.5,27.2,23.8,24.8,24.0,23.3,4.5,3.2,2.6,3.5,3.6,3.2,5682.045,6056.331,6377.092,6124.492,6060.093,6213.501
9,El Salvador,Americas,38.0,38.0,39.0,39.0,36.0,36.0,32.0,22.0,41.0,0.094,0.1,0.003,0.005,0.267,1.0,1.0,1.012,1.012,1.012,1.012,1.004,0.899,0.721,0.723,0.721,0.726,0.731,0.736,4.25,4.188,4.0,4.1,4.1,4.1,0.663,0.662,0.661,0.66,0.662,0.665,-5.0,0.14,41.584,40.105,62.286,105.231,83.006,61.708,41.8,43.4,41.6,40.6,40.0,38.0,32.6,34.2,32.2,31.8,30.6,29.1,39.5,35.6,35.5,32.6,31.4,29.5,4.2,3.4,3.1,2.0,2.3,1.9,3428.385,3509.531,3589.042,3705.578,3805.994,3910.257
